System,Exc_TZ,TZ_correlation,QZ_correlation,CTZ_correlation,delta_Riemann_QZ_to_CBS,Exc_comp,Ex_TZ
001,-20.65222324,-0.62461847,-0.71026418,-0.74399182,-0.078301933,-20.93554423,-19.98736755
002,-29.18123394,-0.85470837,-0.97903978,-1.03266228,-0.113670489,-29.59718975,-28.26095331
003,-17.48402031,-0.54877624,-0.63096408,-0.67346519,-0.075140562,-17.76603766,-16.8941228
004,-10.24104418,-0.3371921,-0.36936882,-0.40105586,-0.029417695,-10.36650236,-9.88680497
005,-2.719474379,-0.05095531,-0.06719593,-0.08958674,-0.014848052,-2.789194481,-2.667707417
006,-23.59383919,-0.58799211,-0.71192544,-0.75419926,-0.113306543,-23.99728621,-23.01274036
007,-14.25862336,-0.37032293,-0.43047815,-0.45539021,-0.054997151,-14.45884301,-13.87672502
008,-35.1060981,-0.85845258,-1.05138878,-1.062799,-0.176392693,-35.67977341,-34.21901292
009,-4.247746025,-0.11064055,-0.12827914,-0.14785782,-0.016126152,-4.318728037,-4.123405126
010,-5.07568348,-0.14893084,-0.1684188,-0.17978731,-0.017816945,-5.143844855,-4.92222483
011,-25.08923947,-0.62473942,-0.7512477,-0.78898572,-0.115660701,-25.49565475,-24.44109804
012,-11.36453937,-0.36463226,-0.41046572,-0.43741315,-0.041903424,-11.52505714,-10.98285746
013,-22.12987771,-0.62787501,-0.7229535,-0.76047685,-0.08692589,-22.44448393,-21.46126772
014,-12.16299451,-0.39870111,-0.44392592,-0.46994333,-0.041346964,-12.3208085,-11.74338898
015,-22.9280506,-0.67379452,-0.73442802,-0.79591697,-0.05543442,-23.16624097,-22.22247718
016,-12.95775875,-0.43794705,-0.47964534,-0.50463497,-0.038122829,-13.10426779,-12.49996874
017,-46.70395734,-1.15849814,-1.39280435,-1.41005174,-0.21421539,-47.40403254,-45.47492588
018,-26.75661093,-0.69458173,-0.83036916,-0.86547128,-0.124144201,-27.18743211,-26.02793721
019,-13.24939605,-0.42212709,-0.47075181,-0.50605987,-0.044455345,-13.42640889,-12.80481755
020,-16.80226978,-0.47714733,-0.5441102,-0.56940421,-0.061221072,-17.0227106,-16.30730782
